ID	hIndex	paperNum	citationSum	zeroModelTN	country
2675373843	1	1	2	0	DE
2687711334	1	1	7	0	
2106640644	7	25	167	0	CA
2546021934	0	1	0	0	JP
2130144971	35	138	7209	1	CA
1931272019	29	135	2624	1	IL
2125762281	45	208	8656	1	US
2005494572	17	42	1122	1	CA
2195048431	64	185	34128	1	US
2951439127	7	12	191	1	US
2100980789	28	65	3447	1	US
2078633956	60	388	14002	1	IL
2278892267	34	245	6070	1	US
2194385920	17	38	5284	1	US
2166702024	10	49	467	1	SG
1612755466	2	2	6	1	US
2110356299	12	37	275	1	US
2124900482	56	400	10924	1	US
2146028162	13	15	1898	1	DE
2721404323	13	22	528	1	SG
2098282815	11	55	596	1	US
2029460102	24	88	2196	1	IT
2021274021	2	5	15	1	IT
1965972254	24	103	2330	1	IT
1963686774	19	133	1263	1	IT
2514118810	0	1	0	1	TH
2110715440	20	33	1230	1	US
2516247858	10	14	256	1	HK
2513937482	0	1	0	1	TH
2226611697	1	1	56	1	US
2134891245	16	49	889	1	SG
2572444533	1	1	123	1	SG
2786351344	1	1	1	1	US
1538418967	8	27	629	1	US
2949136714	0	1	0	1	US
2950913863	0	1	0	1	US
2921659999	13	62	483	1	ES
2150700496	8	34	170	1	ES
2249216824	15	78	797	1	CN
2380037463	23	46	1583	1	CA
1727115441	3	7	41	1	US
2509600330	3	6	20	1	CA
96492545	42	194	6132	1	US
275506078	0	1	0	1	RO
2985674702	3	8	25	1	RO
343541395	55	242	11272	1	US
1497545797	6	17	94	1	IS
2306778192	7	43	149	1	SG
2897463735	0	1	0	1	IN
2566425648	0	1	0	1	IN
2785416002	1	5	4	1	US
1975721694	53	178	13589	1	US
2149900527	6	14	119	1	US
2309166124	3	10	23	1	US
2460742993	6	18	561	1	US
2115615403	1	3	3	1	PL
2328643574	5	24	55	1	IL
2950813128	4	7	34	1	AT
2154829706	7	16	124	1	CA
2936669495	3	13	27	1	FR
2237284261	4	9	110	1	CO
2107927076	31	98	5989	1	IL
2109486514	3	5	41	1	PL
291038320	10	52	417	1	IL
245759790	11	36	467	1	US
2509220363	12	25	660	1	US
2952718772	0	2	0	1	
2687392197	1	1	6	1	AT
2423476627	11	23	473	1	CN
2151639406	16	56	1033	1	US
2193562398	14	56	714	1	US
238778836	4	7	42	1	FR
715896484	18	164	1377	1	FR
2150326578	5	16	62	1	CN
2138960101	17	37	2388	1	US
2283844017	1	1	34	1	US
2983356119	1	1	18	1	
308745853	26	62	5046	1	US
2984652466	1	1	12	1	
2517262209	1	1	4	1	
2680387496	1	1	4	1	
100924317	12	72	532	1	DE
2104102455	20	87	1736	1	US
342945316	4	5	49	1	GB
2102149111	3	5	107	1	GB
2124351263	14	55	1508	1	US
2208521465	7	22	136	1	KR
2789607009	1	1	11	1	
2497644411	0	1	0	1	US
2460355940	6	13	105	1	US
2588433762	6	9	223	1	US
2631336887	1	8	6	1	DE
696077761	10	22	510	1	US
2164566402	35	74	5282	1	US
2307408782	7	9	154	1	US
2171343426	74	277	24526	1	IL
2048787978	27	100	2637	1	US
2105350755	20	43	1872	1	US
2112194197	22	73	1398	1	FR
2134620140	22	49	2483	1	IL
2100116873	5	11	69	1	FR
1933462798	8	40	248	1	FR
182699647	8	12	190	1	US
2242145496	40	281	6650	1	US
2290866383	15	50	899	1	US
2321832285	13	42	916	1	US
2461029465	2	2	16	1	US
2311972679	6	19	117	1	US
2897785810	0	1	0	1	US
1164161613	10	29	251	1	AE
2988699032	1	1	2	1	AE
250363551	11	72	386	1	AE
2973623273	0	1	0	1	AE
1214819165	10	40	381	1	AE
2925876425	3	3	61	1	CA
2984229962	1	1	15	1	CA
1840823888	4	15	47	1	AE
2717633028	2	3	40	1	AE
2172219169	1	1	2	1	CA
